metagene,log2foldchange_After abduction,q-value_After abduction,se,name
K06928,-2.5255359327105498,0.0276740229759942,0.5545494457531924,nucleoside-triphosphatase [EC:3.6.1.15]
K07717,-2.5145207969493373,0.014833086880636,0.5367319243853167,"two-component system, sensor histidine kinase GlnK [EC:2.7.13.3]"
K07321,-2.514109259381009,0.0001477934508832,0.4523958288215851,CO dehydrogenase maturation factor
K07814,-2.5094261966220803,0.0010296847927403,0.4819595836029385,cyclic di-GMP phosphodiesterase [EC:3.1.4.-]
K09706,-2.496061188797008,0.027641927522112,0.5480433070096667,uncharacterized protein
K06394,-2.489740066269702,0.0002528670511088,0.455777103473012,stage III sporulation protein AE
K06416,-2.488056783461847,0.0002582908762247,0.4557860454211426,stage V sporulation protein S
K03660,-2.481556853515269,0.0002367477688576,0.4533073227602691,N-glycosylase/DNA lyase [EC:3.2.2.- 4.2.99.18]
K06374,-2.4797572844798945,0.0006376595563201,0.4683016871794955,spore maturation protein B
K06298,-2.479042731898021,0.0076901394071712,0.514479072334389,germination protein M
K06395,-2.478130847080095,0.0001330598434002,0.444454968984026,stage III sporulation protein AF
K05341,-2.476591582745765,0.011663475477883,0.5231383132628415,amylosucrase [EC:2.4.1.4]
K06373,-2.476239210264314,0.000491181198433,0.4634424221441317,spore maturation protein A
K03388,-2.458934642125541,0.0285720644632787,0.5407420819699484,heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
K06402,-2.455991782043565,0.0044208979108318,0.4983472517686739,stage IV sporulation protein FB [EC:3.4.24.-]
K07216,-2.455212858917162,0.0009550036709196,0.4702802468743378,hemerythrin
K15533,-2.45512611713272,0.0021820403934579,0.4847098146129979,"1,3-beta-galactosyl-N-acetylhexosamine phosphorylase [EC:2.4.1.211]"
K06383,-2.4428285251660347,0.0016370271461428,0.4771342845280983,stage II sporulation protein GA (sporulation sigma-E factor processing peptidase) [EC:3.4.23.-]
K06399,-2.4413085979672147,0.0004150369508539,0.4543082607964453,stage IV sporulation protein B [EC:3.4.21.116]
K06379,-2.4400880103476013,0.0004191665410633,0.4542348051462865,stage II sporulation protein AB (anti-sigma F factor) [EC:2.7.11.1]
K06391,-2.4377570727507547,0.0002249163352914,0.4445669691492199,stage III sporulation protein AB
K06397,-2.436554181960956,0.0004978453020393,0.4562265570968212,stage III sporulation protein AH
K06392,-2.4357562375786195,0.0005042758841799,0.4562788299692876,stage III sporulation protein AC
K06390,-2.435024335609832,0.0005102051063426,0.4563287361905172,stage III sporulation protein AA
K06012,-2.434990596451023,0.000442598768678,0.4541184457549959,spore protease [EC:3.4.24.78]
K06393,-2.433466394699914,0.0005072164373612,0.4559428308911678,stage III sporulation protein AD
K06396,-2.431813093946603,0.0005208393557454,0.4560497780165977,stage III sporulation protein AG
K07699,-2.427956868416352,0.0005385248879171,0.4558508795188584,"two-component system, response regulator, stage 0 sporulation protein A"
K17734,-2.426249772875664,0.0089157290327896,0.5066424576522831,serine protease AprX [EC:3.4.21.-]
K06382,-2.425729042084196,0.0005563865288211,0.4559433863452308,stage II sporulation protein E [EC:3.1.3.16]
K06385,-2.423580727250214,0.0005684818916582,0.4558807677686068,stage II sporulation protein P
K06407,-2.417886043840529,0.0006219681815541,0.4562222781149965,stage V sporulation protein AE
K06398,-2.41763444503034,0.0006095255999827,0.4558546249456898,stage IV sporulation protein A
K06406,-2.406049968734327,0.0007531219779945,0.4570168118319092,stage V sporulation protein AD
K00196,-2.39580144850688,0.0011727319459088,0.4622918489298147,anaerobic carbon-monoxide dehydrogenase iron sulfur subunit
K06405,-2.39288619025832,0.0008329165946479,0.456128054635933,stage V sporulation protein AC
K06923,-2.3814284817285327,0.004084454972857,0.4817006851162436,uncharacterized protein
K01449,-2.380683920278852,0.00031361289101,0.4389116877516705,cell wall hydrolase
K04769,-2.377979576343279,0.0009068568947785,0.4546502107843563,"AbrB family transcriptional regulator, stage V sporulation protein T"
K09759,-2.369396363391675,0.0060156080626926,0.4867776507687522,nondiscriminating aspartyl-tRNA synthetase [EC:6.1.1.23]
K06283,-2.3628475472742467,0.0022164365328028,0.4667726791913826,"putative DeoR family transcriptional regulator, stage III sporulation protein D"
K01308,-2.345839418425602,0.0069632836051796,0.4848378835651054,g-D-glutamyl-meso-diaminopimelate peptidase [EC:3.4.19.11]
K18344,-2.339674711156978,0.0115408481982223,0.4939852715549992,"two-component system, OmpR family, response regulator VanR"
K10672,-2.332868084787544,0.0246695627140111,0.5095074924310613,glycine reductase complex component B subunit gamma [EC:1.21.4.2]
K06411,-2.3324564568035715,0.0327922020395952,0.516253698582664,dipicolinate synthase subunit B
K06387,-2.3140107339285296,0.003281708669696,0.4640571015976428,stage II sporulation protein R
K07576,-2.3122131869892497,0.0114671360174773,0.4880494071643625,metallo-beta-lactamase family protein
K04070,-2.2582302533532883,0.0035009821275795,0.4540236536083247,putative pyruvate formate lyase activating enzyme [EC:1.97.1.4]
K00030,-2.254678855144932,0.0368950986625365,0.5018462006275961,isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
K07502,-2.2497861872394025,0.0206418346594153,0.4873863990927894,uncharacterized protein
K00532,-2.245179983483569,0.0498979943621752,0.5071326043014753,ferredoxin hydrogenase [EC:1.12.7.2]
K15024,-2.2426551043497027,5.275431230506918e-05,0.3910685100592068,putative phosphotransacetylase [EC:2.3.1.8]
K14048,-2.221739482442275,0.0029521906298843,0.4437297336405155,urease subunit gamma/beta [EC:3.5.1.5]
K16951,-2.1794931354366205,0.0334214681583123,0.4828322963239453,anaerobic sulfite reductase subunit B
K02650,-2.1637743755367964,0.0356697727195996,0.4808393870730927,type IV pilus assembly protein PilA
K05364,-2.154938153449177,0.0151881271774462,0.4604657797480305,penicillin-binding protein A
K00284,-2.144346766738343,0.0002961009271689,0.3945863865003747,glutamate synthase (ferredoxin) [EC:1.4.7.1]
K16950,-2.12822368543356,0.0497786650067202,0.4806543971481158,anaerobic sulfite reductase subunit A
K19294,-2.1260891716060555,0.0063439304063057,0.437740771350908,alginate O-acetyltransferase complex protein AlgI
K10202,-2.120482358651141,0.0092069314147011,0.4433976063273608,N-acetylglucosamine transport system permease protein
K00198,-2.116415189809389,0.0018025013644464,0.414858800593992,anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]
K07003,-2.1091660351344554,0.0148713670245352,0.45026220664345,uncharacterized protein
K07138,-2.0784068301379817,0.0193449697994469,0.4489278488996807,uncharacterized protein
K00179,-2.06212364717613,0.0445663763610929,0.4632054628968416,"indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]"
K07736,-2.0329002455224083,0.0244702884870712,0.4438250556988159,"CarD family transcriptional regulator, regulator of rRNA transcription"
K08384,-2.016216134343056,0.0026048725148275,0.4007489153546001,stage V sporulation protein D (sporulation-specific penicillin-binding protein)
K02598,-2.008488944863545,0.0011376711994924,0.3871312034633332,nitrite transporter
K00076,-2.0081295329276814,0.0252879892426307,0.4390879403858261,7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]
K06378,-2.0068032465666263,0.0116002688478427,0.4238013381175147,stage II sporulation protein AA (anti-sigma F factor antagonist)
K06897,-2.004636484474996,0.015341675256838,0.4285418545595525,"7,8-dihydropterin-6-yl-methyl-4-(beta-D-ribofuranosyl)aminobenzene 5'-phosphate synthase [EC:2.5.1.105]"
K01002,-1.990347457371049,0.0026514545526535,0.3958774456324632,phosphoglycerol transferase [EC:2.7.8.20]
K12510,-1.966284063662192,0.0178200001453378,0.423151162484619,tight adherence protein B
K02431,-1.959082395598592,0.0008072833752066,0.3730251338457936,L-fucose mutarotase [EC:5.1.3.29]
K13954,-1.935543268789524,0.0390683429075981,0.4319977926596109,alcohol dehydrogenase [EC:1.1.1.1]
K05934,-1.917111727918236,0.0379353801478896,0.4272815678677284,precorrin-3B C17-methyltransferase / cobalt-factor III methyltransferase [EC:2.1.1.131 2.1.1.272]
K01678,-1.9102521689543777,0.0093378408887882,0.3996783438422838,fumarate hydratase subunit beta [EC:4.2.1.2]
K01677,-1.9007100046769767,0.0111993905967482,0.4007801385830754,fumarate hydratase subunit alpha [EC:4.2.1.2]
K06381,-1.900540576598761,0.0089429994771611,0.3969193202817246,stage II sporulation protein D (peptidoglycan lytic transglycosylase) [EC:4.2.2.29]
K06409,-1.885563044805848,0.009803712514012,0.3953325766266001,stage V sporulation protein B
K01267,-1.872805304717693,0.0144522963403634,0.399298778856876,aspartyl aminopeptidase [EC:3.4.11.21]
K02653,-1.8719980072701,0.0268199963650846,0.4104396706666894,type IV pilus assembly protein PilC
K09777,-1.8125317801572056,0.0349669530299253,0.4024000270511544,extracellular matrix regulatory protein A
K00087,-1.8069332146054584,0.0208149136706898,0.3915986165553974,xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]
K00879,-1.8068585185661368,0.0285215249934405,0.397308552315937,L-fuculokinase [EC:2.7.1.51]
K03608,-1.7875047801896755,0.0014425249458025,0.3475181353430524,cell division topological specificity factor
K13479,-1.787127073649315,0.0197180019177524,0.3863492775379426,xanthine dehydrogenase FAD-binding subunit [EC:1.17.1.4]
K18475,-1.776541735814234,0.0101086553395473,0.3729606417531476,lysine-N-methylase [EC:2.1.1.-]
K04028,-1.7399691206823769,0.0397509677040757,0.3886750922281999,ethanolamine utilization protein EutN
K06182,-1.731914643013981,0.0269584627573337,0.3798194515444902,23S rRNA pseudouridine2604 synthase [EC:5.4.99.21]
K06179,-1.7072210358041695,0.0109718551862697,0.35966340410054,23S rRNA pseudouridine955/2504/2580 synthase [EC:5.4.99.24]
K10119,-1.653154811636926,0.0457959887381031,0.3718323971310538,raffinose/stachyose/melibiose transport system permease protein
K02099,-1.6510238731951734,0.01352801838966,0.3509966120694848,"AraC family transcriptional regulator, arabinose operon regulatory protein"
K00042,-1.6414904719325394,0.0125490769265644,0.3478324287714227,2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]
K01286,-1.5558488641694126,0.0045068947367177,0.3159423335730399,D-alanyl-D-alanine carboxypeptidase [EC:3.4.16.4]
K06133,-1.525046286308022,0.0030667983305016,0.3050342388662582,4'-phosphopantetheinyl transferase [EC:2.7.8.-]
K01464,-1.5196364814386527,0.0284644574859974,0.3341176321849484,dihydropyrimidinase [EC:3.5.2.2]
K07053,-1.5109764921448576,0.0199986393505425,0.3268595776496569,"3',5'-nucleoside bisphosphate phosphatase [EC:3.1.3.97]"
K00821,-1.5004322617135877,0.0150154524377943,0.3204482524243399,acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]
K00335,-1.4089026815821986,0.0484084045618263,0.3177536683674419,NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]
K00822,1.5378306012522809,0.0474629932788801,0.3464959523634132,beta-alanine--pyruvate transaminase [EC:2.6.1.18]
K02258,1.5443954908178776,0.0421766151872288,0.3459889285119473,cytochrome c oxidase assembly protein subunit 11
K00253,1.544822601529681,0.0421300624714503,0.3460631074404796,isovaleryl-CoA dehydrogenase [EC:1.3.8.4]
K01075,1.548622191558842,0.0497689381264776,0.3497461504263153,4-hydroxybenzoyl-CoA thioesterase [EC:3.1.2.23]
K09983,1.551757238901605,0.0486156139686648,0.350051220390317,uncharacterized protein
K17325,1.5534203383455285,0.0404036794583881,0.3472831879755836,glycerol transport system ATP-binding protein
K17321,1.5534203383455285,0.0404036794583881,0.3472831879755836,glycerol transport system substrate-binding protein
K17323,1.5534203383455285,0.0404036794583881,0.3472831879755836,glycerol transport system permease protein
K06890,1.5569240072883397,0.0393805640116805,0.3476279883424451,uncharacterized protein
K01968,1.5590450157107782,0.0402923492904765,0.3484915191355235,3-methylcrotonyl-CoA carboxylase alpha subunit [EC:6.4.1.4]
K07577,1.568154072731979,0.0236984090340818,0.3418582496779574,putative mRNA 3-end processing factor
K17324,1.579605227504229,0.0205259004202835,0.3421080683600518,glycerol transport system ATP-binding protein
K17322,1.579605227504229,0.0205259004202835,0.3421080683600518,glycerol transport system permease protein
K18335,1.6023587498526677,0.0353933616052976,0.3559462105285062,2-dehydro-3-deoxy-L-fuconate 4-dehydrogenase [EC:1.1.1.434]
K01821,1.6136021817399355,0.0292652769273982,0.3552465322646508,4-oxalocrotonate tautomerase [EC:5.3.2.6]
K00627,1.6430910028664334,0.017525423905956,0.3533344390748025,pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12]
K03322,1.6514441063381402,0.0094440760050361,0.3456957313524186,manganese transport protein
K00426,1.6817298530022156,0.0209276146531449,0.3645562791060188,cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]
K04047,1.6925097175033297,0.0019436333648293,0.3326988184180287,starvation-inducible DNA-binding protein
K03305,1.7294542190147952,0.0021994561513723,0.3415466390614277,"proton-dependent oligopeptide transporter, POT family"
K00406,1.7396751940823931,0.0485339136680956,0.3924067233675198,cytochrome c oxidase cbb3-type subunit III
K00208,1.7517252847157183,0.0274895594712269,0.3845130333582867,enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
K03885,1.7565279469938655,0.033533328170889,0.3891955862059055,NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9]
K03316,1.7661467984588728,0.0164690319961482,0.3787410538765918,Na+:H+ antiporter
K16264,1.7901069316391425,0.0034932188868248,0.3598723730590932,cobalt-zinc-cadmium efflux system protein
K00226,1.82160272051244,0.0169144489546697,0.3911004725006888,dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]
K07304,1.830380391232063,0.0398028627845456,0.4089003780442812,peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]
K00108,1.880563735336316,0.0125585860190535,0.3985083954744556,choline dehydrogenase [EC:1.1.99.1]
K01575,1.892121793992939,0.0193130756373829,0.4086573816726618,acetolactate decarboxylase [EC:4.1.1.5]
K00374,1.9125099032906483,0.0140075336818069,0.4072058862999834,nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]
K00371,1.9155028586869056,0.0175202202639264,0.411905692335866,"nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]"
K03758,1.9415830404628127,0.0101090249001397,0.4076126889541787,arginine:ornithine antiporter / lysine permease
K03893,1.947133237782089,0.0250528773917291,0.4255650922182468,arsenical pump membrane protein
K16013,1.9474215819701723,0.0075018230675062,0.4037335372706916,"ATP-binding cassette, subfamily C, bacterial CydD"
K02002,1.9520417710860207,0.0046727946024624,0.3969694506334214,glycine betaine/proline transport system substrate-binding protein
K03293,1.9603622271631744,0.0291528539235574,0.4315074757331857,"amino acid transporter, AAT family"
K05520,1.9650940592594248,0.0095955714958539,0.4116310633265237,deglycase [EC:3.5.1.124]
K01669,1.997304377827149,0.0033353479126569,0.4007989487636029,deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]
K01419,2.000987473938048,0.0295947292943644,0.4407651748127093,"ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]"
K03667,2.016689750977852,0.0261296372869035,0.441629946055911,ATP-dependent HslUV protease ATP-binding subunit HslU
K05845,2.017471855987849,0.0020868723054327,0.3976356052776523,osmoprotectant transport system substrate-binding protein
K03638,2.0183533250880545,0.0255993150449366,0.4415747513173097,molybdopterin adenylyltransferase [EC:2.7.7.75]
K03328,2.05290973209698,0.037260437517969,0.4571540663056046,"polysaccharide transporter, PST family"
K10009,2.098518641722388,0.0022476590110378,0.4147768229437376,L-cystine transport system permease protein
K16012,2.11054638614867,0.0034406577122166,0.4240381871250411,"ATP-binding cassette, subfamily C, bacterial CydC"
K10010,2.1409415045018694,0.0041838861362577,0.4334707679507334,L-cystine transport system ATP-binding protein [EC:7.4.2.1]
K03635,2.1959201294288606,0.0035878908471432,0.44192157235447,molybdopterin synthase catalytic subunit [EC:2.8.1.12]
K02424,2.205920960192924,0.0023349828761895,0.436635910934655,L-cystine transport system substrate-binding protein
K05340,2.218735167214515,0.0168502774964447,0.4762813061748469,glucose uptake protein
K02538,2.408122935150689,0.0195510335475035,0.5203963452429972,mannose operon transcriptional activator
K08996,2.4425097554746324,0.0114102013315203,0.5154377814848795,putative membrane protein
K14194,3.079944477715898,0.0298572237862508,0.6787155893495682,serine-aspartate repeat-containing protein C/D/E
